ID_Venda,Data,ID_Cliente,ID_Produto,Quantidade,Valor_Venda,Canal
1001,12/04/2026,42,8,3,180,E-commerce
1002,05/02/2026,16,5,7,950,E-commerce
1003,03/04/2026,15,3,8,80,Loja Física
1004,13/01/2026,8,3,3,80,E-commerce
1005,02/06/2026,5,7,7,5200,E-commerce
1006,16/05/2026,17,1,2,3500,E-commerce
1007,14/06/2026,22,2,5,900,E-commerce
1008,10/02/2026,30,1,5,3500,Loja Física
1009,10/05/2026,7,5,4,950,Loja Física
1010,06/04/2026,11,1,6,3500,E-commerce
1011,05/01/2026,8,6,5,450,Loja Física
1012,15/01/2026,16,2,2,900,E-commerce
1013,18/01/2026,35,3,3,80,E-commerce
1014,21/05/2026,11,5,7,950,Loja Física
1015,19/05/2026,13,5,7,950,E-commerce
1016,23/04/2026,34,8,2,180,Loja Física
1017,27/02/2026,5,6,1,450,Loja Física
1018,31/05/2026,15,1,2,3500,Loja Física
1019,28/02/2026,5,1,6,3500,Loja Física
1020,12/05/2026,16,5,8,950,Loja Física
1021,19/05/2026,9,8,4,180,E-commerce
1022,15/04/2026,13,2,2,900,E-commerce
1023,01/04/2026,28,7,8,5200,Loja Física
1024,22/06/2026,42,2,1,900,E-commerce
1025,28/03/2026,7,4,4,120,Loja Física
1026,18/05/2026,29,3,7,80,Loja Física
1027,13/03/2026,30,4,2,120,E-commerce
1028,21/05/2026,7,1,1,3500,Loja Física
1029,02/03/2026,11,7,8,5200,E-commerce
1030,24/02/2026,26,1,3,3500,E-commerce
1031,01/01/2026,25,5,8,950,E-commerce
1032,19/04/2026,36,8,3,180,Loja Física
1033,17/03/2026,14,1,1,3500,E-commerce
1034,15/01/2026,4,8,3,180,Loja Física
1035,11/05/2026,6,3,2,80,Loja Física
1036,22/06/2026,16,7,2,5200,Loja Física
1037,29/05/2026,39,1,2,3500,E-commerce
1038,18/06/2026,38,6,5,450,Loja Física
1039,21/06/2026,21,4,5,120,E-commerce
1040,03/02/2026,42,5,8,950,E-commerce
1041,19/01/2026,1,8,2,180,Loja Física
1042,18/05/2026,14,5,3,950,E-commerce
1043,18/01/2026,16,6,5,450,Loja Física
1044,23/04/2026,35,5,1,950,E-commerce
1045,19/06/2026,7,3,5,80,Loja Física
1046,28/01/2026,36,3,5,80,E-commerce
1047,04/06/2026,14,6,4,450,E-commerce
1048,10/05/2026,32,5,1,950,Loja Física
1049,12/06/2026,28,5,1,950,Loja Física
1050,27/03/2026,9,5,3,950,E-commerce
1051,22/05/2026,28,1,2,3500,Loja Física
1052,26/06/2026,10,1,6,3500,Loja Física
1053,21/04/2026,9,1,5,3500,E-commerce
1054,11/01/2026,23,4,4,120,Loja Física
1055,01/04/2026,36,7,3,5200,Loja Física
1056,11/02/2026,12,7,1,5200,Loja Física
1057,27/03/2026,27,4,5,120,Loja Física
1058,29/06/2026,7,7,1,5200,E-commerce
1059,26/02/2026,13,8,6,180,E-commerce
1060,28/02/2026,15,1,4,3500,E-commerce
1061,26/03/2026,18,2,5,900,E-commerce
1062,14/06/2026,33,7,6,5200,Loja Física
1063,30/01/2026,17,3,5,80,Loja Física
1064,28/01/2026,39,7,6,5200,E-commerce
1065,22/04/2026,39,2,7,900,Loja Física
