ID_Avaliacao,ID_Colaborador,Periodo,Nota_Desempenho
1,1,2025-1,9.8
2,1,2025-2,9.1
3,1,2026-1,9.7
4,2,2025-1,9.5
5,2,2025-2,9.1
6,2,2026-1,6.2
7,3,2025-1,7.6
8,3,2025-2,6.4
9,3,2026-1,7.2
10,4,2025-1,5.8
11,4,2025-2,7.1
12,4,2026-1,9.7
13,5,2025-1,6.6
14,5,2025-2,8.9
15,5,2026-1,7.5
16,6,2025-1,7.3
17,6,2025-2,9.6
18,6,2026-1,9.8
19,7,2025-1,7.9
20,7,2025-2,8.6
21,7,2026-1,6.2
22,8,2025-1,6.8
23,8,2025-2,9.7
24,8,2026-1,8.0
25,9,2025-1,7.8
26,9,2025-2,8.7
27,9,2026-1,5.7
28,10,2025-1,8.0
29,10,2025-2,7.7
30,10,2026-1,9.2
31,11,2025-1,6.2
32,11,2025-2,9.6
33,11,2026-1,5.8
34,12,2025-1,6.3
35,12,2025-2,8.1
36,12,2026-1,8.4
37,13,2025-1,6.5
38,13,2025-2,6.0
39,13,2026-1,9.3
40,14,2025-1,6.6
41,14,2025-2,8.1
42,14,2026-1,8.2
43,15,2025-1,7.3
44,15,2025-2,8.0
45,15,2026-1,7.7
46,16,2025-1,9.5
47,16,2025-2,6.4
48,16,2026-1,8.6
49,17,2025-1,6.5
50,17,2025-2,7.2
51,17,2026-1,8.4
52,18,2025-1,6.8
53,18,2025-2,6.9
54,18,2026-1,8.7
55,19,2025-1,5.8
56,19,2025-2,7.5
57,19,2026-1,9.8
58,20,2025-1,9.8
59,20,2025-2,5.8
60,20,2026-1,6.4
61,21,2025-1,6.6
62,21,2025-2,9.5
63,21,2026-1,9.3
64,22,2025-1,9.3
65,22,2025-2,7.1
66,22,2026-1,6.2
67,23,2025-1,9.1
68,23,2025-2,8.5
69,23,2026-1,8.1
70,24,2025-1,9.7
71,24,2025-2,8.3
72,24,2026-1,5.5
73,25,2025-1,9.0
74,25,2025-2,6.8
75,25,2026-1,8.4
76,26,2025-1,9.5
77,26,2025-2,6.1
78,26,2026-1,6.0
79,27,2025-1,6.0
80,27,2025-2,7.9
81,27,2026-1,6.7
82,28,2025-1,8.1
83,28,2025-2,8.6
84,28,2026-1,6.4
85,29,2025-1,8.2
86,29,2025-2,6.6
87,29,2026-1,7.6
88,30,2025-1,9.4
89,30,2025-2,9.1
90,30,2026-1,5.9
91,31,2025-1,7.3
92,31,2025-2,6.7
93,31,2026-1,5.5
94,32,2025-1,8.8
95,32,2025-2,8.2
96,32,2026-1,6.6
97,33,2025-1,8.7
98,33,2025-2,7.9
99,33,2026-1,7.3
100,34,2025-1,5.5
101,34,2025-2,5.8
102,34,2026-1,9.3
103,35,2025-1,9.4
104,35,2025-2,7.8
105,35,2026-1,9.1
106,36,2025-1,8.0
107,36,2025-2,6.1
108,36,2026-1,6.0
109,37,2025-1,6.8
110,37,2025-2,9.4
111,37,2026-1,8.9
112,38,2025-1,9.2
113,38,2025-2,9.4
114,38,2026-1,6.4
115,39,2025-1,6.6
116,39,2025-2,5.9
117,39,2026-1,8.9
118,40,2025-1,9.3
119,40,2025-2,7.2
120,40,2026-1,8.2
121,41,2025-1,6.2
122,41,2025-2,9.5
123,41,2026-1,9.2
124,42,2025-1,9.7
125,42,2025-2,9.0
126,42,2026-1,9.3
127,43,2025-1,5.6
128,43,2025-2,8.7
129,43,2026-1,6.9
130,44,2025-1,9.5
131,44,2025-2,8.9
132,44,2026-1,9.2
133,45,2025-1,9.0
134,45,2025-2,6.6
135,45,2026-1,8.9
136,46,2025-1,6.0
137,46,2025-2,9.3
138,46,2026-1,9.2
139,47,2025-1,6.5
140,47,2025-2,9.0
141,47,2026-1,7.5
142,48,2025-1,6.8
143,48,2025-2,8.9
144,48,2026-1,6.5
145,49,2025-1,5.6
146,49,2025-2,6.3
147,49,2026-1,6.9
148,50,2025-1,9.2
149,50,2025-2,9.7
150,50,2026-1,6.7
