ID_Desligamento,ID_Colaborador,Data_Desligamento,Motivo
1,8,2026-08-26,Corte de Custos
2,37,2026-05-28,Transferência
3,14,2026-04-12,Desempenho
4,30,2026-01-20,Desempenho
5,45,2026-01-27,Corte de Custos
6,17,2026-08-06,Pedido de Demissão
7,24,2026-07-23,Pedido de Demissão
8,11,2026-03-30,Transferência
9,39,2026-06-19,Corte de Custos
10,42,2026-01-18,Corte de Custos
11,50,2026-01-04,Transferência
12,43,2026-07-30,Transferência
13,20,2026-01-28,Transferência
14,7,2026-04-03,Transferência
15,2,2026-07-01,Desempenho
