ID_Desligamento;ID_Colaborador;Data_Desligamento;Motivo
1;8;26/08/2026;Corte de Custos
2;37;28/05/2026;Transferência
3;14;12/04/2026;Desempenho
4;30;20/01/2026;Desempenho
5;45;27/01/2026;Corte de Custos
6;17;06/08/2026;Pedido de Demissão
7;24;23/07/2026;Pedido de Demissão
8;11;30/03/2026;Transferência
9;39;19/06/2026;Corte de Custos
10;42;18/01/2026;Corte de Custos
11;50;04/01/2026;Transferência
12;43;30/07/2026;Transferência
13;20;28/01/2026;Transferência
14;7;03/04/2026;Transferência
15;2;01/07/2026;Desempenho
