ID_Falta;ID_Colaborador;Data;Horas_Falta
1;42;11/05/2026;8
2;44;04/08/2026;4
3;22;29/08/2026;8
4;8;13/08/2026;8
5;12;29/05/2026;8
6;3;28/01/2026;8
7;28;30/03/2026;8
8;21;22/04/2026;4
9;33;30/01/2026;8
10;37;18/02/2026;8
11;3;01/07/2026;8
12;1;14/05/2026;2
13;44;04/07/2026;8
14;48;21/06/2026;8
15;24;21/04/2026;2
16;43;24/08/2026;8
17;40;22/03/2026;8
18;8;04/07/2026;4
19;33;21/03/2026;8
20;27;25/03/2026;8
21;45;17/03/2026;6
22;9;19/02/2026;8
23;43;29/08/2026;8
24;44;11/07/2026;2
25;40;26/05/2026;8
26;26;21/05/2026;8
27;20;15/03/2026;8
28;28;21/07/2026;2
29;39;17/06/2026;8
30;30;24/04/2026;8
31;44;24/02/2026;4
32;31;23/07/2026;8
33;11;18/06/2026;8
34;19;12/05/2026;8
35;41;08/06/2026;4
36;6;29/07/2026;8
37;44;21/03/2026;8
38;13;07/02/2026;8
39;3;04/03/2026;8
40;40;06/08/2026;8
41;30;17/04/2026;8
42;37;19/02/2026;8
43;45;09/04/2026;8
44;26;04/03/2026;4
45;42;26/06/2026;8
46;49;09/08/2026;8
47;50;19/04/2026;8
48;12;25/07/2026;6
49;34;29/04/2026;8
50;36;05/03/2026;8
51;30;04/02/2026;8
52;43;16/05/2026;8
53;39;23/03/2026;8
54;40;28/07/2026;8
55;33;20/04/2026;8
56;29;18/08/2026;8
57;48;09/08/2026;8
58;29;08/03/2026;8
59;41;12/03/2026;8
60;32;10/06/2026;8
61;18;23/04/2026;8
62;46;15/03/2026;8
63;18;27/03/2026;8
64;35;21/01/2026;8
65;10;01/03/2026;8
66;45;09/02/2026;8
67;14;17/01/2026;8
68;27;26/03/2026;8
69;30;17/04/2026;8
70;14;02/08/2026;8
71;25;20/08/2026;8
72;45;06/01/2026;8
73;25;03/05/2026;8
74;23;18/03/2026;8
75;27;18/05/2026;8
76;48;20/05/2026;8
77;15;05/05/2026;8
78;18;22/04/2026;8
79;2;10/04/2026;8
80;43;23/06/2026;8
81;47;12/02/2026;8
82;9;09/06/2026;8
83;2;21/08/2026;8
84;38;25/05/2026;8
85;2;22/01/2026;8
86;28;04/02/2026;8
87;12;13/01/2026;8
88;25;25/03/2026;8
89;30;25/03/2026;8
90;49;14/08/2026;8
91;18;12/07/2026;8
92;17;02/08/2026;8
93;31;05/01/2026;8
94;35;14/01/2026;8
95;15;16/06/2026;8
96;50;03/09/2026;8
97;3;13/07/2026;8
98;16;21/02/2026;8
99;40;09/02/2026;8
100;9;02/05/2026;8
